opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-06-26	29	19	https://snowtrace.io/tx/0x4d07d98c3877a92660c4df70736422f0cf7a773f9b2b1164949868a5ac190c0b	n/a	AVAX	Avalanche	13.123805	0	$17.53	$230.06	14.436186	BTC	Avalanche	0.002119	0	$107377.00	$227.53
2025-07-01	30	12	https://snowtrace.io/tx/0xd4a062304715585ddd6016510a2f48260dfbfe0f43ed8005fc655a1e65f0c959	n/a	BTC	Avalanche	0.004736	0	$106658.00	$505.13	0.0052096006	AVAX	Avalanche	29.15	0	$17.18	$500.80
2025-07-01	31	19	https://snowtrace.io/tx/0x04f52807efbb695b5dc188ebc2656508ef1814495899b8f22b5e887a8f9f35cc	n/a	AVAX	Avalanche	14.579	0	$17.18	$250.47	16.036901	BTC	Avalanche	0.002368	0	$106658.00	$252.57
2025-07-06	32	19	https://snowtrace.io/tx/0xcad75186e51aeb6a151d219fcef459a0ae5deab3cd0d413060d58b90a725e303	n/a	AVAX	Avalanche	29.152996	0	$18.22	$531.17	32.068295	BTC	Avalanche	0.004899	0	$108189.00	$530.02
2025-07-18	33	19	https://snowtrace.io/tx/0xf4b304aa481ce459b250826d4e048a014d235eb5d4f8f0f50753040990d3ed6c	n/a	AVAX	Avalanche	42.5	0	$23.52	$999.60	46.75	BTC	Avalanche	0.008524	0	$117935.00	$1005.28
2025-07-20	34	17	https://snowtrace.io/tx/0x536a9cf6da44b2401ef795dd43146feef8adbb0be7f470734911834cfc878515	n/a	BTC	Avalanche	0.0042	0	$117982.00	$495.52	0.00462	AVAX	Avalanche	19.560787	0	$24.94	$487.85
2025-07-20	35	15	virtual swap	n/a	AVAX	Avalanche	0	40	$24.94	$997.60	44	BTC	Avalanche	0.008524	0	$117982.00	$1005.68
2025-07-23	36	14	https://snowtrace.io/tx/0x0bb10d45e0d7c0367f3bccb95c51c6faea25f17a071acd934fbcfc08fefea27a	n/a	BTC	Avalanche	0.0042	0	$118015.00	$495.66	0.00462	AVAX	Avalanche	20.832802	0	$23.85	$496.86
2025-07-23	37	19	virtual swap	n/a	AVAX	Avalanche	0	42	$23.85	$1001.70	46.2	BTC	Avalanche	0.008482	0	$118015.00	$1001.00
2025-07-25	38	0	https://snowtrace.io/tx/0x00fefab383157f04939f7ff9ab526c1dd9849c6a613d7b990d079aec516b6ca7	n/a	BTC	Avalanche	0.0043	0	$116127.00	$499.35	0.00473	AVAX	Avalanche	21.114147	0	$23.97	$506.11
2025-07-25	39	19	virtual swap	n/a	AVAX	Avalanche	0	42	$23.97	$1006.74	46.2	BTC	Avalanche	0.008559	0	$116127.00	$993.93
2025-07-26	40	19	virtual swap	n/a	AVAX	Avalanche	0	40	$25.11	$1004.40	44	BTC	Avalanche	0.008421	0	$117964.00	$993.37
2025-07-26	41	17	https://snowtrace.io/tx/0xd95412438a017a684b62825323e4920d41670011a1803f554b99656c90383c77	n/a	BTC	Avalanche	0.0038	0	$117964.00	$448.26	0.00418	AVAX	Avalanche	18.078938	0	$25.11	$453.96
2025-07-27	42	16	virtual swap	n/a	AVAX	Avalanche	19	0	$26.04	$494.76	20.9	BTC	Avalanche	0.004282	0	$118085.00	$505.64
2025-08-06	43	17	virtual swap	n/a	BTC	Avalanche	0.0087	0	$113883.00	$990.78	0.009570001	AVAX	Avalanche	45.0404	0	$22.24	$1001.70
2025-09-27	44	0	https://snowtrace.io/tx/0x714e157c4923281a1f96396ab647121a992d5cac2c694c18e382f055ba8d7687	n/a	BTC	Avalanche	0.00458	0	$109383.00	$500.97	0.005038	AVAX	Avalanche	17.721584	0	$28.26	$500.81
2025-09-27	45	18	virtual swap	n/a	AVAX	Avalanche	0	17.8	$28.26	$503.03	19.58	BTC	Avalanche	0.004585	0	$109383.00	$501.52
2025-10-13	46	19	https://snowtrace.io/tx/0xc80f3ae0922f9758add03201b221bbff22f5e102057c12386fb74d6991e23efb	n/a	AVAX	Avalanche	21.07	0	$22.65	$477.24	23.177	BTC	Avalanche	0.004313	0	$114561.00	$494.10
2025-10-13	47	0	https://snowtrace.io/tx/0xc81c39f52555514f4e47222e4783753bec0a14e98ef1584ca37274355079f086	n/a	BTC	Avalanche	0.0086	0	$114561.00	$985.22	0.00946	AVAX	Avalanche	41.979534	0	$22.65	$950.84
2025-12-11	48	0	https://snowtrace.io/tx/0x9d56e6a1b477435ec1a93939a594e3d8cbc6c37e53739d4b8ccc8d67cc95f328	n/a	AVAX	Avalanche	36.95	0	$13.75	$508.06	40.645	BTC	Avalanche	0.00541	0	$90232.00	$488.16
2025-12-11	49	0	virtual swap	2026-03-23	BTC	Avalanche	0	0.009687241	$68180.00	$660.48	0.010655966	AVAX	Avalanche	73.467865	0	$8.99	$660.48
2025-12-22	50	0	https://snowtrace.io/tx/0x4738bee266b6a8a5f6ab46a78c7ff4ff503b2f71df26b2349c8d21bf20e63330	n/a	AVAX	Avalanche	65.6	0	$12.48	$818.69	72.16	BTC	Avalanche	0.009171	0	$89935.00	$824.79
2025-12-22	51	0	virtual swap	2026-03-23	BTC	Avalanche	0	0.017284933	$68180.00	$1178.49	0.019013427	AVAX	Avalanche	131.08864	0	$8.99	$1178.49
