date,ADA,AURORA,AVAX,BNB,BTC,DOGE,ETH,HBAR,LINK,LTC,NEAR,SOL,UNDEAD,stable
2025-08-18,$14016.13,$1415.66,$26733.87,$29137.62,$112677.43,$8824.85,$22323.28,$0.00,$6364.04,$5706.18,$1645.65,$1342.40,$0.00,$35080.34
2025-08-17,$15075.04,$1451.72,$27913.80,$30120.47,$115680.14,$9263.92,$23605.59,$0.00,$6325.56,$5970.21,$1779.09,$1426.25,$0.00,$35080.34
2025-08-16,$14079.89,$1444.13,$26565.31,$28915.40,$114841.22,$9014.72,$22781.86,$0.00,$5512.42,$5731.07,$1715.55,$1370.50,$0.00,$35080.34
2025-08-15,$14683.20,$1482.08,$27554.21,$29574.02,$116132.85,$9105.70,$24106.68,$0.00,$5758.67,$5929.22,$1766.38,$1435.33,$0.00,$35080.34
2025-08-14,$14983.30,$1510.54,$28127.32,$30087.98,$118292.73,$9406.32,$24505.36,$0.00,$5986.97,$6231.80,$1855.33,$1500.67,$0.00,$35080.34
2025-08-13,$13681.82,$1516.24,$28194.74,$29811.95,$117703.13,$9750.45,$24361.43,$0.00,$6087.01,$6419.21,$1836.27,$1488.43,$0.00,$35080.34
2025-08-12,$12237.29,$1489.67,$26250.66,$28133.10,$116237.47,$8888.14,$22548.34,$0.00,$5674.02,$5891.15,$1690.13,$1302.35,$0.00,$35080.34
2025-08-11,$12269.95,$1523.83,$26138.29,$27874.55,$117221.10,$9030.54,$21688.49,$0.00,$5466.25,$6128.34,$1690.13,$1318.21,$0.00,$35080.34
2025-08-10,$12296.38,$1508.65,$26497.89,$27956.66,$115734.90,$9133.39,$21747.14,$0.00,$5540.64,$5958.50,$1734.61,$1328.90,$0.00,$35080.34
2025-08-09,$12613.59,$1512.44,$27239.56,$28162.10,$114149.94,$9564.54,$21875.19,$0.00,$5422.64,$5955.08,$1785.44,$1330.67,$0.00,$35080.34
2025-08-08,$12251.29,$1465.00,$26149.53,$27459.46,$113957.32,$8781.34,$20222.75,$0.00,$4950.66,$5948.25,$1677.42,$1301.62,$0.00,$35080.34
2025-08-07,$11954.30,$1449.82,$25542.70,$27055.56,$113795.99,$8437.21,$19910.96,$0.00,$4453.03,$5847.71,$1645.65,$1269.54,$0.00,$35080.34
2025-08-06,$11288.79,$1404.27,$24565.05,$26550.68,$111350.61,$7926.94,$18627.19,$0.00,$4193.95,$5639.81,$1556.70,$1209.65,$0.00,$35080.34
2025-08-05,$11333.88,$1400.48,$24632.47,$26182.07,$110591.86,$7895.30,$18619.93,$0.00,$4209.35,$5978.51,$1588.47,$1214.89,$0.00,$35080.34
2025-08-04,$11492.48,$1415.66,$24587.52,$26425.60,$111954.86,$7970.45,$18467.01,$0.00,$4255.52,$5608.57,$1575.76,$1198.88,$0.00,$35080.34
2025-08-03,$11260.80,$1370.12,$24036.89,$26168.44,$111296.83,$7843.87,$18088.78,$0.00,$4145.22,$5338.20,$1543.99,$1191.65,$0.00,$35080.34
2025-08-02,$11114.64,$1375.81,$24149.26,$26436.08,$111220.56,$7903.21,$18202.35,$0.00,$4111.87,$5220.58,$1524.93,$1212.82,$0.00,$35080.34
2025-08-01,$11340.10,$1409.97,$24935.88,$27051.02,$113205.42,$8227.56,$19047.05,$0.00,$4291.43,$5160.55,$1582.12,$1248.52,$0.00,$35080.34
