date	ADA	ATOM	AURORA	AVAX	BNB	BTC	DOGE	ETH	INDY	LINK	LTC	LUNA	NEAR	OSMO	QI	ROAR	SNEK	SOL	UNDEAD	stable
2025-09-23	$427.28	$0.00	$0.00	$6,398.02	$998.47	$7,475.84	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$6,850.00
2025-09-05	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,683.73	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$3,341.10
2025-09-04	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,683.73	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,058.26	$3,341.10
2025-09-03	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,683.73	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$3,923.31	$3,341.10
2025-08-24	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,683.73	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$3,672.17	$3,341.10
2025-08-19	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,611.94	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$3,672.17	$3,341.10
2025-08-15	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,569.55	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$3,672.17	$3,341.10
2025-08-12	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,569.55	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$2,058.78	$3,341.10
2025-08-09	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,569.55	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$599.33	$3,341.10
2025-08-06	$427.28	$0.00	$0.00	$6,398.02	$998.47	$6,569.55	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$159.42	$3,341.10
2025-08-03	$427.28	$0.00	$0.00	$6,263.41	$998.47	$6,569.55	$912.32	$7,574.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$159.42	$3,341.10
2025-07-27	$427.28	$0.00	$0.00	$2,260.06	$998.47	$1,869.81	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$159.42	$1,493.75
2025-07-20	$427.28	$0.00	$0.00	$2,260.06	$998.47	$1,834.43	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$159.42	$1,493.75
2025-07-18	$427.28	$0.00	$0.00	$2,203.38	$998.47	$1,543.97	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$159.42	$1,493.75
2025-07-14	$427.28	$0.00	$0.00	$2,203.38	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$159.42	$1,493.75
2025-07-12	$427.28	$0.00	$0.00	$2,203.38	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$144.57	$55.80	$0.00	$0.00	$118.33	$1,493.75
2025-07-03	$427.28	$0.00	$0.00	$2,203.38	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$144.57	$55.80	$0.00	$0.00	$117.62	$1,493.75
