date	+BTC	BTC	BTC quote	average BTC quote quote	BTC $	BTC %	TOTAL	gains	$ gains	deposits/withdrawals	invested	yields	gains, total	$ gains, total	ROI	APR
2025-10-01	0.00000	0.00098	$116,780.00	$83,656.00	$114.94	100.00%	$114.94	0.00000	$3.67	$0.00	$100.00	$0.00	0.00000	$14.94	14.94%	24.90%
2025-09-30	0.00000	0.00098	$113,056.00	$83,656.00	$111.27	100.00%	$111.27	0.00000	-$0.90	$0.00	$100.00	$0.00	0.00000	$11.27	11.27%	18.88%
2025-09-29	0.00000	0.00098	$113,973.00	$83,656.00	$112.18	100.00%	$112.18	0.00000	$3.74	$0.00	$100.00	$0.00	0.00000	$12.18	12.18%	20.48%
2025-09-28	0.00000	0.00098	$110,174.00	$83,656.00	$108.44	100.00%	$108.44	0.00000	$0.78	$0.00	$100.00	$0.00	0.00000	$8.44	8.44%	14.26%
2025-09-27	0.00000	0.00098	$109,383.00	$83,656.00	$107.66	100.00%	$107.66	0.00000	-$0.13	$0.00	$100.00	$0.00	0.00000	$7.66	7.66%	13.00%
2025-09-26	0.00000	0.00098	$109,513.00	$83,656.00	$107.79	100.00%	$107.79	0.00000	-$2.10	$0.00	$100.00	$0.00	0.00000	$7.79	7.79%	13.28%
2025-09-25	0.00000	0.00098	$111,645.00	$83,656.00	$109.89	100.00%	$109.89	0.00000	-$1.40	$0.00	$100.00	$0.00	0.00000	$9.89	9.89%	16.94%
2025-09-24	0.00000	0.00098	$113,072.00	$83,656.00	$111.29	100.00%	$111.29	0.00000	$0.33	$0.00	$100.00	$0.00	0.00000	$11.29	11.29%	19.44%
2025-09-23	0.00000	0.00098	$112,737.00	$83,656.00	$110.96	100.00%	$110.96	0.00000	$0.04	$0.00	$100.00	$0.00	0.00000	$10.96	10.96%	18.96%
2025-09-22	0.00000	0.00098	$112,699.00	$83,656.00	$110.92	100.00%	$110.92	0.00000	-$3.01	$0.00	$100.00	$0.00	0.00000	$10.92	10.92%	18.98%
2025-09-21	0.00000	0.00098	$115,755.00	$83,656.00	$113.93	100.00%	$113.93	0.00000	-$0.31	$0.00	$100.00	$0.00	0.00000	$13.93	13.93%	24.33%
